# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Player","","Team","born","Height","Position"
"Koffi Djidji","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","30/11/1992","184 cm","DF"
"Berat Djimsiti","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","19/02/1993","191 cm","DF"
"Nicolás Domínguez","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","28/06/1998","179 cm","MF"
"Antonio Donnarumma","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","07/07/1990","192 cm","GK"
"Gianluigi Donnarumma","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","25/02/1999","196 cm","GK"
"Bartłomiej Drągowski","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","19/08/1997","191 cm","GK"
"Denis Drăguş","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","06/07/1999","185 cm","FW"
"Radu Drăgușin","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","03/02/2002","191 cm","DF"
"Daniel Dumbrăvanu","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","22/07/2001","192 cm","DF"
"Alfred Duncan","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","10/03/1993","178 cm","MF"
"Eduard Dutu","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","18/04/2001","192 cm","DF"
"Paulo Dybala","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","15/11/1993","177 cm","MF"
"Edin Džeko","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","17/03/1986","193 cm","FW"
"Filip Đuričić","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","30/01/1992","181 cm","MF"
"Steeve Eboa","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","20/02/2001","180 cm","MF"
"Eduardo Henrique","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","17/05/1995","186 cm","MF"
"Albin Ekdal","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","28/07/1989","186 cm","MF"
"Stephan El Shaarawy","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","27/10/1992","178 cm","FW"
"Eljif Elmas","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","24/09/1999","182 cm","MF"
"Christian Eriksen","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","14/02/1992","182 cm","MF"
"Martin Erlić","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","24/01/1998","192 cm","DF"
"Gonzalo Escalante","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","27/03/1993","182 cm","MF"
"Nahuel Estévez","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","14/11/1995","182 cm","MF"
"Valentin Eysseric","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","25/03/1992","181 cm","MF"
"Fabián Ruiz","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","03/04/1996","189 cm","MF"
"Nicolò Fagioli","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","12/02/2001","178 cm","MF"
"Paolo Faragò","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","12/02/1993","187 cm","MF"
"Davide Faraoni","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","25/10/1991","180 cm","DF"
"Simone Farelli","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","19/02/1983","186 cm","GK"
"Mohamed Fares","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","15/02/1996","183 cm","MF"
"Andrea Favilli","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","17/05/1997","191 cm","FW"
"Federico Fazio","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","17/03/1987","195 cm","DF"
"Félix Correia","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","22/01/2001","178 cm","FW"
"Amir Feratovič","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","08/06/2002","189 cm","DF"
"Erick Ferigra","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","07/02/1999","180 cm","DF"
"Alex Ferrari","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","01/07/1994","191 cm","DF"
"Gianmarco Ferrari","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","15/02/1992","189 cm","DF"
"Marco Festa","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","06/06/1992","190 cm","GK"
"Fernando Forestieri","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","16/01/1990","172 cm","FW"
"Daam Foulon","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","23/03/1999","180 cm","DF"
"Gianluca Frabotta","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","24/06/1999","187 cm","DF"
"Damiano Franco","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","22/02/2002","192 cm","DF"
"Remo Freuler","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","15/04/1992","181 cm","MF"
"Marco Frigerio","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","16/07/2001","171 cm","DF"
"Alessio Furlanetto","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","07/09/2002","191 cm","GK""Matteo Gabbia","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","21/10/1999","186 cm","DF"
"Manolo Gabbiadini","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","26/11/1991","186 cm","FW"
"Gabriel Pereira","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","02/07/2002","196 cm","GK"
"Roberto Gagliardini","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","07/04/1994","188 cm","MF"
"Riccardo Gagliolo","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","28/04/1990","180 cm","DF"
"Adolfo Gaich","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","26/02/1999","190 cm","FW"
"Andrey Galabinov","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","13/11/1988","192 cm","FW"
"Giovanni Garofani","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","20/10/2002","188 cm","GK"
"Manuel Gasparini","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","19/05/2002","192 cm","GK"
"Ludovico Gelmi","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","02/05/2001","194 cm","GK"
"Gerard Deulofeu","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","13/03/1994","177 cm","FW"
"Gervinho","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","27/05/1987","179 cm","FW"
"Paolo Ghiglione","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","02/02/1997","191 cm","MF"
"Davide Ghislandi","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","16/06/2001","177 cm","MF"
"Faouzi Ghoulam","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","01/02/1991","188 cm","DF"
"Kamil Glik","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","03/02/1988","190 cm","DF"
"Diego Godín","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","16/02/1986","187 cm","DF"
"Amer Gojak","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","13/02/1997","184 cm","MF"
"Edoardo Goldaniga","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","02/11/1993","193 cm","DF"
"Vladimir Golemić","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","28/06/1991","192 cm","DF"
"Pierluigi Gollini","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","18/03/1995","188 cm","GK"
"Gonzalo Villar","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","23/03/1998","181 cm","MF"
"Piergraziano Gori","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","10/05/1980","189 cm","GK"
"Robin Gosens","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","05/07/1994","184 cm","DF"
"Alberto Grassi","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","07/03/1995","183 cm","MF"
"Jean Greco","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","12/02/2001","179 cm","MF"
"Koray Günter","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","16/08/1994","184 cm","DF"
"Emmanuel Gyabuaa","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","21/09/2001","178 cm","MF"
"Emmanuel Gyasi","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","11/01/1994","182 cm","FW"
"Achraf Hakimi","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","04/11/1998","181 cm","DF"
"Samir Handanovič","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","14/07/1984","193 cm","GK"
"Lukáš Haraslín","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","26/05/1996","182 cm","FW"
"Hans Hateboer","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","09/01/1994","187 cm","DF"
"Jens Hauge","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","12/10/1999","184 cm","FW"
"Theo Hernández","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","06/10/1997","184 cm","DF"
"Hernani","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","27/03/1994","188 cm","MF"
"Përparim Hetemaj","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","12/12/1986","175 cm","MF"
"Aaron Hickey","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","10/06/2002","176 cm","DF"
"Wesley Hoedt","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","06/03/1994","188 cm","DF"
"Krisztofer Horváth","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","08/01/2002","172 cm","MF"
"Elseid Hysaj","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","02/02/1994","182 cm","DF"
"Simone Iacoponi","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","30/04/1987","180 cm","DF"
"Iago Falqué","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","04/01/1990","174 cm","FW"
"Ibañez","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","23/11/1998","185 cm","DF"
"Zlatan Ibrahimović","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","03/10/1981","195 cm","FW"
"Hubert Idasiak","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","03/02/2002","185 cm","GK"
"Igor","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","07/02/1998","184 cm","DF"
"Ivan Ilić","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","17/03/2001","182 cm","MF"
"Josip Iličič","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","29/01/1988","190 cm","FW"
"Matei Ilie","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","11/12/2002","185 cm","DF""Ciro Immobile","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","20/02/1990","185 cm","FW"
"Riccardo Improta","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","19/12/1993","179 cm","FW"
"Roberto Inglese","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","12/11/1991","186 cm","FW"
"Lorenzo Insigne","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","04/06/1991","163 cm","FW"
"Roberto Insigne","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","11/05/1994","172 cm","FW"
"Artur Ioniță","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","17/08/1990","186 cm","MF"
"Ardian Ismajli","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","30/09/1996","185 cm","DF"
"Franco Israel","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","22/04/2000","190 cm","GK"
"Armando Izzo","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","02/03/1992","183 cm","DF"
"Mato Jajalo","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","24/05/1988","182 cm","MF"
"Jakub Jankto","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","19/01/1996","184 cm","MF"
"João Pedro","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","09/03/1992","184 cm","FW"
"Bogdan Jočić","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","11/01/2001","183 cm","MF"
"José Callejón","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","11/02/1987","178 cm","FW"
"Juan Jesus","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","10/06/1991","185 cm","DF"
"Andreas Jungdal","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","22/02/2002","195 cm","GK"
"Junior Messias","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","13/05/1991","183 cm","FW"
"Musa Juwara","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","26/12/2001","170 cm","FW"
"Kaique Rocha","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","28/02/2001","195 cm","DF"
"Nikola Kalinić","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","05/01/1988","187 cm","FW"
"Yayah Kallon","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","30/06/2001","175 cm","FW"
"Pierre Kalulu","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","05/06/2000","179 cm","DF"
"Yann Karamoh","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","08/07/1998","185 cm","FW"
"Ibrahim Karamoko","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","23/07/2001","187 cm","MF"
"Isaac Karamoko","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","26/05/2002","175 cm","FW"
"Rick Karsdorp","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","11/02/1995","184 cm","DF"
"Franck Kessié","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","19/12/1996","183 cm","MF"
"Omar Khailoti","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","05/09/2001","192 cm","DF"
"Simon Kjær","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","26/03/1989","191 cm","DF"
"Ragnar Klavan","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","30/10/1985","187 cm","DF"
"Aleksandr Kokorin","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","19/03/1991","184 cm","FW"
"Aleksandar Kolarov","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","10/11/1985","187 cm","DF"
"Márk Kosznovszky","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","17/04/2002","177 cm","MF"
"Christian Kouamé","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","06/12/1997","185 cm","FW"
"Kalidou Koulibaly","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","20/06/1991","187 cm","DF"
"Viktor Kovalenko","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","14/02/1996","182 cm","MF"
"Titas Krapikas","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","03/01/1999","195 cm","GK"
"Dimo Krastev","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","10/02/2003","195 cm","MF"
"Rade Krunić","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","07/10/1993","184 cm","MF"
"Altin Kryeziu","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","03/01/2002","183 cm","MF"
"Juraj Kucka","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","26/02/1987","186 cm","MF"
"Dejan Kulusevski","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","25/04/2000","186 cm","MF"
"Marash Kumbulla","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","08/02/2000","190 cm","DF"
"Jasmin Kurtić","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","10/01/1989","186 cm","MF"
"Giorgos Kyriakopoulos","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","05/02/1996","178 cm","DF"
"Antonino La Gumina","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","06/03/1996","182 cm","FW"
"Valerio Labriola","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","13/04/2001","173 cm","MF"
"Sam Lammers","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","30/04/1997","191 cm","FW"
"Gianluca Lapadula","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","07/02/1990","178 cm","FW"
"Kevin Lasagna","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","10/08/1992","181 cm","FW""Vincent Laurini","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","10/06/1989","173 cm","DF"
"Darko Lazović","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","15/09/1990","181 cm","MF"
"Manuel Lazzari","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","29/11/1993","174 cm","MF"
"Léo Sena","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","31/12/1995","175 cm","MF"
"Mehdi Léris","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","23/05/1998","186 cm","MF"
"Karlo Letica","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","11/02/1997","201 cm","GK"
"Gaetano Letizia","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","29/06/1990","173 cm","DF"
"Karol Linetty","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","02/02/1995","176 cm","MF"
"Llorente","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","26/02/1985","195 cm","FW"
"Stanislav Lobotka","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","25/11/1994","172 cm","MF"
"Manuel Locatelli","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","08/01/1998","186 cm","MF"
"Maxime López","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","04/12/1997","167 cm","MF"
"Matteo Lovato","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","14/02/2000","194 cm","DF"
"Hirving Lozano","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","30/07/1995","175 cm","FW"
"Lucas Leiva","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","09/01/1987","179 cm","MF"
"Igor Lucatelli","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","21/08/2003","197 cm","GK"
"Luis Alberto","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","28/11/1992","183 cm","MF"
"Luiz Felipe","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","22/03/1997","187 cm","DF"
"Romelu Lukaku","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","13/05/1993","192 cm","FW"
"Saša Lukić","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","13/08/1996","182 cm","MF"
"Senad Lulić","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","18/01/1986","183 cm","MF"
"Sebastiano Luperto","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","06/09/1996","191 cm","DF"
"Zito Luvumbo","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","09/03/2002","171 cm","FW"
"Lyanco","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","01/02/1997","187 cm","DF"
"Charalampos Lykogiannis","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","22/10/1993","186 cm","DF"
"Ibrahima M'Baye","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","19/11/1994","188 cm","DF"
"Lisandro Magallán","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","27/09/1993","185 cm","DF"
"Giulio Maggiore","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","12/03/1998","184 cm","MF"
"Francesco Magnanelli","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","12/11/1984","182 cm","MF"
"Giangiacomo Magnani","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","04/10/1995","190 cm","DF"
"Jean-Victor Makengo","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","12/06/1998","177 cm","MF"
"Nikola Maksimović","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","25/11/1991","193 cm","DF"
"Kévin Malcuit","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","31/07/1991","180 cm","DF"
"Daniel Maldini","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","11/10/2001","185 cm","MF"
"Ruslan Malinovskiy","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","04/05/1993","181 cm","MF"
"Dennis Man","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","26/08/1998","183 cm","FW"
"Gianluca Mancini","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","17/04/1996","193 cm","DF"
"Rolando Mandragora","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","29/06/1997","183 cm","MF"
"Mario Mandžukić","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","21/05/1986","190 cm","FW"
"Nicoló Manfredini","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","01/05/1988","190 cm","GK"
"Kostas Manolas","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","14/06/1991","189 cm","DF"
"Federico Marchetti","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","07/02/1983","188 cm","GK"
"Riccardo Marchizza","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","26/03/1998","187 cm","DF"
"Iulius Mărginean","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","03/07/2001","190 cm","MF"
"Daniele Mariani","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","20/07/2001","181 cm","DF"
"Răzvan Marin","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","23/05/1996","174 cm","MF"
"Mário Rui","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","27/05/1991","170 cm","DF"
"Marlon","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","07/09/1995","182 cm","DF"
"Luca Marrone","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","28/03/1990","186 cm","DF"
"Lautaro Martínez","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","22/08/1997","174 cm","FW""Lucas Martínez Quarta","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","10/05/1996","183 cm","DF"
"Adam Marušić","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","17/10/1992","185 cm","MF"
"Davide Masella","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","12/05/2002","185 cm","MF"
"Andrea Masiello","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","05/02/1986","185 cm","DF"
"Federico Mattiello","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","14/07/1995","184 cm","MF"
"Antonio Mazzotta","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","02/08/1989","183 cm","DF"
"Joakim Mæhle","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","20/05/1997","185 cm","DF"
"Weston McKennie","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","28/08/1998","185 cm","MF"
"Gary Medel","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","03/08/1987","171 cm","MF"
"Soualiho Meïté","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","17/03/1994","187 cm","MF"
"Filippo Melegoni","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","18/02/1999","185 cm","MF"
